"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.7854635740145,-20.9683406146253,"2026-07-14",0.07424,0.407,330
"2026-09-04",-44.7854635740145,-20.9660049948865,"2026-01-09",-0.05748,0.3713,321
"2026-09-04",-44.7854635740145,-20.9659151633581,"2026-01-09",-0.093393,0.3403,323
"2026-09-04",-44.7854635740145,-20.9658253318297,"2026-01-09",0.010279,0.3311,325
"2026-09-04",-44.7854635740145,-20.9657355003013,"2026-01-09",0.044444,0.3192,327
"2026-09-04",-44.7854635740145,-20.9656456687729,"2026-01-09",0.056072,0.3277,329
"2026-09-04",-44.7853737424861,-20.9686101092105,"2026-01-09",-0.022241,0.3455,325
"2026-09-04",-44.7853737424861,-20.9659151633581,"2026-01-09",-0.089802,0.3825,322
"2026-09-04",-44.7853737424861,-20.9658253318297,"2026-01-09",-0.04531,0.3683,322
"2026-09-04",-44.7853737424861,-20.9657355003013,"2026-01-09",0.03417,0.3417,326
"2026-09-04",-44.7853737424861,-20.9656456687729,"2026-01-09",0.069657,0.3322,326
"2026-09-04",-44.7852839109577,-20.9686101092105,"2026-01-09",-0.022241,0.3455,325
"2026-09-04",-44.7852839109577,-20.9658253318297,"2026-01-09",-0.051535,0.3899,321
"2026-09-04",-44.7852839109577,-20.9657355003013,"2026-01-09",-0.009752,0.3554,325
"2026-09-04",-44.7852839109577,-20.9656456687729,"2026-01-09",0.048022,0.3222,326
"2026-09-04",-44.7851940794293,-20.9658253318297,"2026-01-09",-0.051535,0.3899,321
"2026-09-04",-44.7851940794293,-20.9657355003013,"2026-01-09",-0.009752,0.3554,325
"2026-09-04",-44.7851042479009,-20.9693287614378,"2026-08-07",0.059268,0.3446,317
"2026-09-04",-44.7850144163725,-20.9693287614378,"2026-08-17",0.055043,0.3396,319
"2026-09-04",-44.7850144163725,-20.96807112004,"2026-08-07",0.089073,0.3685,328
"2026-09-04",-44.7850144163725,-20.9679812885116,"2026-08-12",0.083486,0.395,326
"2026-09-04",-44.7849245848441,-20.9694185929662,"2026-06-28",0.037696,0.3593,320
"2026-09-04",-44.7849245848441,-20.9693287614378,"2026-06-23",0.027013,0.3327,320
"2026-09-04",-44.7849245848441,-20.9683406146253,"2026-07-03",0.110947,0.3653,327
"2026-09-04",-44.7849245848441,-20.9682507830968,"2026-07-14",0.095529,0.3772,326
"2026-09-04",-44.7848347533157,-20.9693287614378,"2026-01-09",0.029798,0.3506,321
"2026-09-04",-44.7848347533157,-20.9685202776821,"2026-07-08",0.102203,0.3594,326
"2026-09-04",-44.7848347533157,-20.9684304461537,"2026-07-14",0.11593,0.3861,327
"2026-09-04",-44.7847449217872,-20.9690592668525,"2026-08-12",0.016877,0.4014,322
"2026-09-04",-44.7847449217872,-20.9689694353241,"2026-06-28",0.015565,0.4328,323
"2026-09-04",-44.7847449217872,-20.9686999407389,"2026-08-02",0.08772,0.4285,326
"2026-09-04",-44.7847449217872,-20.9686101092105,"2026-07-08",0.11141,0.4001,326
"2026-09-04",-44.7846550902588,-20.969149098381,"2026-08-17",0.009615,0.4059,323
"2026-09-04",-44.7846550902588,-20.9690592668525,"2026-06-19",0.041536,0.4725,323
"2026-09-04",-44.7846550902588,-20.9689694353241,"2026-06-28",0.05663,0.4386,322
"2026-09-04",-44.7846550902588,-20.9688796037957,"2026-07-29",0.0678,0.4021,324
"2026-09-04",-44.7846550902588,-20.9687897722673,"2026-08-12",0.089219,0.3864,326
"2026-09-04",-44.7846550902588,-20.9664541525286,"2026-06-14",0.071611,0.3934,319
"2026-09-04",-44.7846550902588,-20.9663643210002,"2026-06-09",0.057411,0.395,318
"2026-09-04",-44.7845652587304,-20.969149098381,"2026-06-28",0.02394,0.4912,324
"2026-09-04",-44.7845652587304,-20.9690592668525,"2026-08-02",0.056568,0.4698,323
"2026-09-04",-44.7845652587304,-20.9689694353241,"2026-07-14",0.065451,0.4273,321
"2026-09-04",-44.7845652587304,-20.9666338155854,"2026-06-14",0.076538,0.3744,319
"2026-09-04",-44.7845652587304,-20.966543984057,"2026-06-14",0.076538,0.3744,319
