"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7780973886848,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2855,0.3067,2024-07-09,-0.274565,-0.155315,NA
-44.7780973886848,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2918,0.3065,2024-06-29,-0.210297,-0.148806,NA
-44.7780973886848,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2846,0.3084,2024-06-19,-0.258292,-0.155775,NA
-44.7780973886848,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.2638,0.3155,2024-06-19,-0.276677,-0.153586,NA
-44.7780973886848,-20.9685202776821,583,2019-01-02,2021-05-31,177,0.2348,0.3109,2024-07-14,-0.225923,-0.135616,NA
-44.7780973886848,-20.9686101092105,583,2019-01-02,2021-05-31,177,0.2086,0.2936,2025-09-19,-0.1458,-0.064446,NA
-44.7780973886848,-20.9686999407389,583,2019-01-02,2021-05-31,177,0.2188,0.3033,2023-10-03,-0.146956,-0.01057,NA
-44.7780973886848,-20.9687897722673,583,2019-01-02,2021-05-31,177,0.2266,0.3153,2023-09-18,-0.184758,-0.00342,NA
-44.7780973886848,-20.9688796037957,583,2019-01-02,2021-05-31,177,0.2293,0.3172,2023-09-08,-0.203553,-0.035437,NA
-44.7781872202132,-20.9669033101707,583,2019-01-02,2021-05-31,177,0.2376,0.3182,NA,NA,0.088634,NA
-44.7781872202132,-20.9669931416991,583,2019-01-02,2021-05-31,177,0.2365,0.3199,NA,NA,0.10255,NA
-44.7781872202132,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2391,0.321,NA,NA,0.109554,NA
-44.7781872202132,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2407,0.3158,NA,NA,0.10712,NA
-44.7781872202132,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2478,0.3126,NA,NA,0.017007,NA
-44.7781872202132,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.256,0.3161,2024-08-23,-0.303745,-0.092006,NA
-44.7781872202132,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2571,0.3193,2024-07-29,-0.280285,-0.129492,NA
-44.7781872202132,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2591,0.3193,2024-08-03,-0.28921,-0.139029,NA
-44.7781872202132,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2621,0.316,2024-07-24,-0.27101,-0.15994,NA
-44.7781872202132,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2752,0.3096,2024-07-19,-0.270477,-0.161744,NA
-44.7781872202132,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2866,0.3024,2024-07-14,-0.253899,-0.158131,NA
-44.7781872202132,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2913,0.3013,2024-07-09,-0.27125,-0.140977,NA
-44.7781872202132,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2906,0.3055,2024-07-09,-0.275772,-0.137886,NA
-44.7781872202132,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2906,0.3055,2024-07-09,-0.275772,-0.137886,NA
-44.7781872202132,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2897,0.3048,2024-07-04,-0.276561,-0.150791,NA
-44.7781872202132,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2908,0.3056,2024-06-24,-0.226635,-0.152946,NA
-44.7781872202132,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2826,0.3101,2024-06-14,-0.213256,-0.157001,NA
-44.7781872202132,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.2608,0.3165,2024-06-19,-0.278052,-0.158083,NA
-44.7781872202132,-20.9685202776821,583,2019-01-02,2021-05-31,177,0.219,0.2931,2024-08-08,-0.206316,-0.12679,NA
-44.7781872202132,-20.9686101092105,583,2019-01-02,2021-05-31,177,0.2194,0.2884,NA,NA,-0.042093,NA
-44.7781872202132,-20.9686999407389,583,2019-01-02,2021-05-31,177,0.2376,0.3117,2023-09-13,-0.174559,-0.006333,NA
-44.7781872202132,-20.9687897722673,583,2019-01-02,2021-05-31,177,0.2367,0.3156,2023-09-13,-0.17688,-0.006707,NA
-44.7781872202132,-20.9688796037957,583,2019-01-02,2021-05-31,177,0.2409,0.317,2023-09-08,-0.198779,-0.011676,NA
-44.7781872202132,-20.9689694353241,583,2019-01-02,2021-05-31,177,0.2385,0.3195,2023-09-23,-0.181121,0.001953,NA
-44.7781872202132,-20.9690592668525,583,2019-01-02,2021-05-31,177,0.2345,0.3073,NA,NA,0.086684,NA
-44.7781872202132,-20.969149098381,583,2019-01-02,2021-05-31,177,0.2307,0.2993,NA,NA,0.12131,NA
-44.7781872202132,-20.9692389299094,583,2019-01-02,2021-05-31,177,0.2237,0.2964,2024-04-05,0.213114,0.115681,NA
-44.7781872202132,-20.9693287614378,583,2019-01-02,2021-05-31,177,0.2136,0.2932,2024-04-05,0.209007,0.096886,NA
-44.7782770517416,-20.9668134786422,583,2019-01-02,2021-05-31,177,0.2415,0.3195,NA,NA,0.061857,NA
-44.7782770517416,-20.9669033101707,583,2019-01-02,2021-05-31,177,0.2348,0.3198,NA,NA,0.086618,NA
-44.7782770517416,-20.9669931416991,583,2019-01-02,2021-05-31,177,0.2373,0.3207,NA,NA,0.098076,NA
-44.7782770517416,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2377,0.3199,NA,NA,0.106044,NA
-44.7782770517416,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2398,0.3152,NA,NA,0.083484,NA
-44.7782770517416,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2495,0.3137,2025-09-12,-0.110768,-0.036165,NA
-44.7782770517416,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.258,0.3176,2024-08-18,-0.321906,-0.107654,NA
