"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7780973886848,-20.9685202776821,319,2019-01-07,2021-05-26,86,0.6876,0.0535,2022-09-13,-0.040737,-0.205009,NA
-44.7780973886848,-20.9686101092105,321,2019-01-07,2021-05-26,86,0.6751,0.0583,2021-06-25,0.053146,-0.138239,NA
-44.7780973886848,-20.9686999407389,322,2019-01-07,2021-05-26,86,0.6731,0.0615,2021-07-05,0.050043,-0.089182,NA
-44.7780973886848,-20.9687897722673,323,2019-01-07,2021-05-26,86,0.6426,0.061,2021-09-23,0.046788,-0.085099,NA
-44.7780973886848,-20.9688796037957,322,2019-01-07,2021-05-26,86,0.5937,0.0664,2021-11-17,0.039845,-0.109563,NA
-44.7781872202132,-20.9669033101707,320,2019-01-07,2021-05-26,87,0.7272,0.0531,2021-08-29,0.01364,0.011657,NA
-44.7781872202132,-20.9669931416991,321,2019-01-07,2021-05-26,87,0.7673,0.0486,2021-08-29,0.017527,0.006646,NA
-44.7781872202132,-20.9670829732275,321,2019-01-07,2021-05-26,87,0.7906,0.0452,2021-08-29,0.017315,0.002575,NA
-44.7781872202132,-20.9671728047559,320,2019-01-07,2021-05-26,87,0.8003,0.0468,2021-08-29,0.012166,0.003731,NA
-44.7781872202132,-20.9672626362843,320,2019-01-07,2021-05-26,85,0.8307,0.0489,2021-08-24,-0.004046,-0.06478,NA
-44.7781872202132,-20.9673524678127,320,2019-01-07,2021-05-26,85,0.7078,0.0789,2023-04-01,0.062691,-0.131377,NA
-44.7781872202132,-20.9674422993411,320,2019-01-07,2021-05-26,85,0.6673,0.0921,2023-04-01,0.071363,-0.114543,NA
-44.7781872202132,-20.9675321308695,319,2019-01-07,2021-05-26,86,0.6773,0.0941,2023-04-21,0.069733,-0.115382,NA
-44.7781872202132,-20.967621962398,319,2019-01-07,2021-05-26,86,0.6936,0.092,2022-05-01,0.046901,-0.121514,NA
-44.7781872202132,-20.9677117939264,318,2019-01-07,2021-05-26,87,0.7315,0.0852,2022-03-27,0.051299,-0.131119,NA
-44.7781872202132,-20.9678016254548,321,2019-01-07,2021-05-26,88,0.7387,0.0857,2022-03-22,0.061748,-0.151751,NA
-44.7781872202132,-20.9678914569832,320,2019-01-07,2021-05-26,87,0.803,0.0758,2022-03-02,0.031342,-0.143504,NA
-44.7781872202132,-20.9679812885116,319,2019-01-07,2021-05-26,88,0.724,0.0896,2022-03-22,0.061998,-0.139062,NA
-44.7781872202132,-20.96807112004,319,2019-01-07,2021-05-26,88,0.724,0.0896,2022-03-22,0.061998,-0.139062,NA
-44.7781872202132,-20.9681609515684,321,2019-01-07,2021-05-26,88,0.7152,0.0889,2022-04-16,0.06662,-0.156358,NA
-44.7781872202132,-20.9682507830968,320,2019-01-07,2021-05-26,88,0.7138,0.0881,2022-04-26,0.063328,-0.172808,NA
-44.7781872202132,-20.9683406146253,320,2019-01-07,2021-05-26,88,0.6963,0.0837,2023-04-01,0.074618,-0.221544,NA
-44.7781872202132,-20.9684304461537,319,2019-01-07,2021-05-26,87,0.6631,0.0671,2023-05-01,0.064988,-0.258473,NA
-44.7781872202132,-20.9685202776821,319,2019-01-07,2021-05-26,86,0.7011,0.053,2023-08-19,-0.005823,-0.183299,NA
-44.7781872202132,-20.9686101092105,321,2019-01-07,2021-05-26,86,0.7014,0.0573,2021-07-10,0.052463,-0.106021,NA
-44.7781872202132,-20.9686999407389,321,2019-01-07,2021-05-26,86,0.7016,0.0589,2021-08-29,0.050624,-0.083806,NA
-44.7781872202132,-20.9687897722673,322,2019-01-07,2021-05-26,86,0.6633,0.0598,2021-09-18,0.044408,-0.081302,NA
